Grave ID,d18O,NoRecs,Sr,NoRecs,Age,NoRecs,Sex,NoRecs,Pb,NoRecs,DeathYr,NoRecs
A-1,-6.304528362,517,0.7096453,517,50,288,M,246,,246,90,97
A-2,-11.0035182585,266,,266,12,12,,12,1.2048344393,12,90,7
A-4,,560,,560,42,327,M,278,,278,90,111
A-7,,560,,560,40,330,F,57,,57,88,24
A-10,-6.2797500198,517,0.7168931,517,43,305,F,46,,46,88,16
A-11,,560,,560,47,319,M,275,,275,86,78
A-21,-7.5375658,560,,560,22,51,M,35,1.2822049115,35,86,12
B-2,,560,,560,47,319,M,275,,275,86,78
B-3,-7.3382746377,560,,560,36,290,M,239,1.181358798,239,88,82
B-5,-5.8894614228,513,,513,41,308,M,256,1.1913996358,256,88,84
B-12,-9.2726517985,560,,560,26,94,F,31,1.2479457953,31,90,23
B-15,-7.3830731309,560,0.71177015,560,35,261,M,212,,212,90,91
B-18,-6.6818454757,548,0.7086633,548,30,157,F,37,1.2287111303,37,92,25
C-1,-6.2395460417,517,0.7092478,517,26,83,M,55,,55,90,26
C-2,,560,,560,42,327,M,278,1.2594802903,278,90,111
C-12,-6.8495024258,560,,560,52,294,F,40,1.2422562288,40,92,22
C-19,-6.6087392275,548,0.7099116,548,42,321,M,272,,272,92,133
C-21,,560,,560,37,291,F,51,,51,92,31
C-22,-7.6988207757,560,0.7101391,560,48,328,F,44,1.2312830646,44,92,24
C-23,-8.5278369234,560,0.7088305,560,28,135,F,38,,38,92,27
D-3,,560,,560,38,290,M,239,,239,92,120
D-11,-6.5749884279,548,0.7098378,548,29,138,M,101,,101,94,67
D-13,-10.6782695384,516,,516,27,101,M,72,1.229109227,72,94,42
D-14,,560,,560,38,290,M,239,,239,94,155
D-15,-6.7278244092,548,0.7081624,548,59,205,M,178,1.2267869774,178,94,120
E-1,-5.8766358538,513,0.7092441,513,29,127,M,95,,95,96,63
E-2,-5.8233932894,513,0.7092925,513,50,286,F,42,,42,96,24
E-3,-5.3997028953,459,0.7096964,459,43,269,M,231,,231,96,152
E-4,-7.9792961326,560,0.708708,560,34,255,M,205,1.2218010867,205,96,133
E-6,-6.0081088055,515,,515,22,43,F,14,,14,96,4
E-16,,560,,560,48,328,M,284,,284,96,179
E-17,-6.0519262494,515,,515,38,268,M,220,1.2689219529,220,96,142
E-19,-7.0250972243,560,0.711936,560,40,330,M,273,,273,96,180
F-1a,-6.0084749059,515,,515,19,21,F,10,1.2216541833,10,94,6
F-2,-6.4038128482,517,0.7112307,517,43,305,F,46,,46,94,31
F-4,-7.8401971277,560,,560,41,333,M,278,1.1819234337,278,94,182
F-5,-5.7005453159,459,0.70913924,459,35,219,F,40,1.2581124256,40,96,22
F-7,-6.5544040783,548,0.7112416,548,40,323,M,266,,266,96,178
F-9,,560,,560,52,294,M,254,1.2240664165,254,96,164
F-13,-7.3515305127,560,,560,50,305,F,44,1.1932857834,44,98,21
F-17,-7.4070840206,560,0.7122306,560,44,345,M,297,,297,98,160
F-19,-7.7767837433,560,0.7105498,560,42,327,M,278,,278,98,154
F-20,-8.2083469747,560,0.7080746,560,29,144,M,107,,107,98,53
